h3_id,timestamp,current_pm25,pm25_observed_flag,pm25_interpolated_flag,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,wind_direction_sin,wind_direction_cos,fire_count_nearby,distance_to_nearest_fire_km,road_density_km_per_sqkm,primary_secondary_road_length_m,building_count,built_up_ratio,industrial_landuse_area_sqm,commercial_landuse_area_sqm,residential_landuse_area_sqm,green_area_sqm,poi_count,area_sqkm,centroid_lat,centroid_lon,pm25_lag_1h,pm25_lag_3h,pm25_lag_24h,hour,day_of_week,month,pm25_t_plus_12h
8760145b0ffffff,2026-04-16 01:00:00+00:00,38.228935855283105,0,1,22.9,86,5.5,207.0,0.0,-0.4539904997395467,-0.8910065241883679,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,40.32601833765614,43.022505245539115,,1,3,4,75.71252748144391
8760145b0ffffff,2026-04-16 02:00:00+00:00,50.349717014749835,0,1,24.1,81,4.6,234.0,0.0,-0.8090169943749473,-0.5877852522924732,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,38.228935855283105,41.79581784204839,,2,3,4,66.03252877878856
8760145b0ffffff,2026-04-16 03:00:00+00:00,51.91375910219885,0,1,27.0,65,5.5,238.0,0.0,-0.848048096156426,-0.529919264233205,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,50.349717014749835,40.32601833765614,,3,3,4,77.02680231917772
8760145b0ffffff,2026-04-16 04:00:00+00:00,56.39602427750065,0,1,30.0,44,5.9,235.0,0.0,-0.8191520442889916,-0.5735764363510464,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,51.91375910219885,38.228935855283105,,4,3,4,67.38916263311692
8760145b0ffffff,2026-04-16 05:00:00+00:00,68.06896469935351,0,1,32.3,33,2.9,169.0,0.0,0.19080899537654497,-0.9816271834476639,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,56.39602427750065,50.349717014749835,,5,3,4,57.4995158606513
8760145b0ffffff,2026-04-16 06:00:00+00:00,80.96092169972776,0,1,33.4,27,8.1,118.0,0.0,0.8829475928589269,-0.4694715627858909,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,68.06896469935351,51.91375910219885,,6,3,4,53.61374379316979
8760145b0ffffff,2026-04-16 07:00:00+00:00,72.04375300498873,0,1,35.2,22,12.2,98.0,0.0,0.9902680687415704,-0.13917310096006535,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,80.96092169972776,56.39602427750065,,7,3,4,43.33915300686089
8760145b0ffffff,2026-04-16 08:00:00+00:00,81.47962233019886,0,1,35.7,20,12.5,97.0,0.0,0.9925461516413221,-0.12186934340514737,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,72.04375300498873,68.06896469935351,,8,3,4,45.40933103874938
8760145b0ffffff,2026-04-16 09:00:00+00:00,79.5332031007069,0,1,34.6,23,17.6,118.0,0.0,0.8829475928589269,-0.4694715627858909,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,81.47962233019886,80.96092169972776,,9,3,4,37.76019299484792
8760145b0ffffff,2026-04-16 10:00:00+00:00,84.76570291874688,0,1,34.0,25,15.5,117.0,0.0,0.8910065241883679,-0.45399049973954675,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,79.5332031007069,72.04375300498873,,10,3,4,42.70890764015817
8760145b0ffffff,2026-04-16 11:00:00+00:00,90.86519155455859,0,1,33.8,26,15.8,126.0,0.0,0.8090169943749475,-0.587785252292473,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,84.76570291874688,81.47962233019886,,11,3,4,41.203077565245636
8760145b0ffffff,2026-04-16 12:00:00+00:00,85.60803100391118,0,1,32.8,27,17.0,123.0,0.0,0.838670567945424,-0.5446390350150272,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,90.86519155455859,79.5332031007069,,12,3,4,42.6788615011698
8760145b0ffffff,2026-04-16 13:00:00+00:00,75.71252748144391,0,1,31.4,31,15.9,119.0,0.0,0.8746197071393959,-0.484809620246337,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,85.60803100391118,84.76570291874688,,13,3,4,47.88733434207421
8760145b0ffffff,2026-04-16 14:00:00+00:00,66.03252877878856,0,1,30.6,33,12.1,136.0,0.0,0.6946583704589971,-0.7193398003386513,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,75.71252748144391,90.86519155455859,72.03585903950373,14,3,4,49.49360384176205
8760145b0ffffff,2026-04-16 15:00:00+00:00,77.02680231917772,0,1,30.0,35,10.7,117.0,0.0,0.8910065241883679,-0.45399049973954675,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,66.03252877878856,85.60803100391118,65.92434509898139,15,3,4,56.78006996754276
8760145b0ffffff,2026-04-16 16:00:00+00:00,67.38916263311692,0,1,28.6,42,14.9,117.0,0.0,0.8910065241883679,-0.45399049973954675,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,77.02680231917772,75.71252748144391,61.92624683774986,16,3,4,58.70101454500375
8760145b0ffffff,2026-04-16 17:00:00+00:00,57.4995158606513,0,1,27.6,47,14.1,128.0,0.0,0.788010753606722,-0.6156614753256583,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,67.38916263311692,66.03252877878856,49.77799119488517,17,3,4,67.1325754392607
8760145b0ffffff,2026-04-16 18:00:00+00:00,53.61374379316979,0,1,27.0,51,10.9,149.0,0.0,0.5150380749100544,-0.8571673007021122,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,57.4995158606513,77.02680231917772,51.25834076463862,18,3,4,71.89812389693668
8760145b0ffffff,2026-04-16 19:00:00+00:00,43.33915300686089,0,1,26.1,55,6.4,191.0,0.0,-0.19080899537654472,-0.981627183447664,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,53.61374379316979,67.38916263311692,44.820462583139175,19,3,4,81.56537629808831
8760145b0ffffff,2026-04-16 20:00:00+00:00,45.40933103874938,0,1,25.5,57,4.8,205.0,0.0,-0.4226182617406993,-0.90630778703665,0,,18.236738384288557,9338.34191414403,701,0.026992613224742616,25194.450903872108,248125.5464822102,509322.6508870106,47340.746509702614,516,5.300264015470445,12.99351586765095,77.57380109673092,43.33915300686089,57.4995158606513,41.25702418895268,20,3,4,76.76965263864396
